identifier,category,information_element,modification_type,Follow the suggestions or not,Pull request is accepted or not,Reason for not following,Reason for not accepted
nodejs/node#47078c11,Description of implementation,Release notes,Add,0,1,Suggestion is posted after pull request closure,
tensorflow/tensorflow#54453c2,Description of implementation,Function summary,Add,1,1,,
nodejs/node#33922c1,Description of implementation,Function summary,Add,0,0,No explanation given,
nodejs/node#33922c1,Description of motivation,Motivation,Add,0,0,No explanation given,
tensorflow/tensorflow#28949c4,Description of implementation,Function summary,Update,0,0,No explanation given,
axios/axios#1915c1,Miscellaneous,Template content,Delete,0,0,No explanation given,
facebook/react#18029c4,Description of implementation,Technical details,Add,0,1,Resolved the problem in another location,
flutter/flutter#38568c3,Description of implementation,Effect,Update,1,1,,
flutter/flutter#119904c4,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#11988c2,Description of implementation,Function summary,Update,1,1,,
electron/electron#13245c1,Description of implementation,Release notes,Add,1,1,,
nodejs/node#33317c2,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#54788c2,Description of implementation,Technical details,Delete,1,1,,
facebook/react#19997c5,Description of implementation,Function summary,Add,1,0,,Feature is not needed
facebook/react#19997c5,Description of motivation,Motivation,Add,1,0,,Feature is not needed
flutter/flutter#32970c3,Description of implementation,Function summary,Add,0,0,No explanation given,
microsoft/vscode#122969c2,Description of problem,Problem statement,Add,1,1,,
flutter/flutter#18189c1,Description of implementation,Function summary,Update,0,1,No explanation given,
tensorflow/tensorflow#26358c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
flutter/flutter#117540c2,Description of motivation,Motivation,Add,0,0,No explanation given,
nodejs/node#45693c4,Description of implementation,Trade-off,Add,1,1,,
tensorflow/tensorflow#54373c1,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react-native#32164c3,Description of motivation,Motivation,Add,0,0,No explanation given,
nodejs/node#7130c2,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
flutter/flutter#51435c4,Description of implementation,Trade-off,Add,1,1,,
golang/go#29460c21,Miscellaneous,Format change,Update,1,0,,Replaced by another pull request
electron/electron#27006c2,Description of implementation,Release notes,Add,1,1,,
tensorflow/tensorflow#40367c6,Description of problem,Problem statement,Add,1,1,,
tensorflow/tensorflow#31601c4,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#53659c10,Description of implementation,Function summary,Update,0,0,No explanation given,
axios/axios#3581c2,Description of problem,Related issue,Add,1,1,,
facebook/react#2368c1,Description of quality,Test,Add,0,1,Difficult to modify,
flutter/flutter#122636c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#33114c2,Description of implementation,Function summary,Update,1,1,,
facebook/react-native#22670c10,Description of implementation,Function summary,Update,0,1,No explanation given,
twbs/bootstrap#3669c1,Description of problem,Problem statement,Add,0,0,No explanation given,
twbs/bootstrap#24594c1,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react#22999c2,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react#22999c2,Description of motivation,Motivation,Add,0,0,No explanation given,
flutter/flutter#8914c7,Description of motivation,Motivation,Add,1,1,,
ytdl-org/youtube-dl#30366c4,Description of problem,Related issue,Add,1,1,,
tensorflow/tensorflow#30949c2,Description of quality,Test,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#30949c2,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#41981c12,Description of implementation,Function summary,Update,1,1,,
golang/go#24927c6,Miscellaneous,Template content,Delete,1,0,,Feature is not needed
electron/electron#29380c5,Description of implementation,Function summary,Update,0,1,Suggestion is posted after pull request closure,
golang/go#36920c5,Description of problem,Problem statement,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#50408c1,Description of implementation,Function summary,Update,1,1,,
nodejs/node#46108c3,Description of problem,Problem statement,Add,0,1,Difficult to modify,
nodejs/node#15648c2,Description of motivation,Motivation,Update,1,0,,Feature is not needed
nodejs/node#29526c10,Description of motivation,Motivation,Add,1,0,,Incorrect or inappropriate change
tensorflow/tensorflow#56465c2,Description of implementation,Function summary,Update,1,1,,
tensorflow/tensorflow#56465c4,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#20887c1,Description of implementation,Effect,Add,1,1,,
ytdl-org/youtube-dl#25734c5,Description of quality,Limitation,Update,1,0,,Feature is not needed
nodejs/node#45512c6,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#56780c1,Description of motivation,Motivation,Add,1,0,,No response from developer
facebook/react-native#12682c1,Description of motivation,Motivation,Add,1,0,,No response from developer
facebook/react-native#12682c1,Description of quality,Test,Add,1,0,,No response from developer
vercel/next.js#28997c1,Description of quality,Checklist,Update,1,0,,Modification is made after pull request closure
microsoft/vscode#114669c1,Description of problem,Related issue,Add,1,1,,
ytdl-org/youtube-dl#31243c4,Description of problem,Related issue,Update,1,1,,
tensorflow/tensorflow#18433c2,Description of implementation,Function summary,Update,1,1,,
nodejs/node#46085c2,Description of implementation,Function summary,Update,1,1,,
facebook/react-native#19768c6,Description of implementation,Effect,Add,0,1,Resolved the problem in another location,
flutter/flutter#24265c2,Description of problem,Related issue,Update,1,0,,Incorrect or inappropriate change
tensorflow/tensorflow#27175c4,Description of implementation,Function summary,Add,0,0,No explanation given,
flutter/flutter#31812c1,Description of problem,Problem statement,Update,1,1,,
flutter/flutter#63610c4,Description of implementation,Effect,Add,1,1,,
tensorflow/tensorflow#52295c1,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#52295c1,Description of motivation,Motivation,Add,1,1,,
facebook/react-native#16464c3,Miscellaneous,Format change,Update,1,1,,
tensorflow/tensorflow#39700c3,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react-native#17583c5,Description of implementation,Function summary,Update,0,0,Suggestion is posted after pull request closure,
nodejs/node#44710c64,Description of implementation,Release notes,Add,1,1,,
flutter/flutter#103975c2,Description of motivation,Motivation,Update,0,0,No explanation given,
flutter/flutter#36757c5,Description of problem,Related issue,Add,0,0,Resolved the problem in another location,
flutter/flutter#50259c3,Description of implementation,Function summary,Add,0,0,No explanation given,
tensorflow/tensorflow#37514c1,Description of problem,Problem statement,Add,1,1,,
electron/electron#24054c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
nodejs/node#17159c42,Description of motivation,Motivation,Add,0,1,Suggestion is posted after pull request closure,
vercel/next.js#19445c1,Description of implementation,Function summary,Add,0,0,No explanation given,
tensorflow/tensorflow#57537c1,Description of implementation,Technical details,Delete,1,1,,
electron/electron#14651c2,Description of implementation,Function summary,Add,1,0,,No response from developer
microsoft/vscode#161000c1,Description of motivation,Motivation,Add,0,0,No explanation given,
electron/electron#37341c4,Description of implementation,Release notes,Add,0,0,No explanation given,
nodejs/node#20745c12,Description of implementation,Function summary,Update,1,0,,No response from developer
nodejs/node#3933c2,Description of problem,Problem statement,Add,0,0,Resolved the problem in another location,
golang/go#39494c6,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#44778c1,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#27678c2,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
facebook/react#22995c3,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react#22995c3,Description of motivation,Motivation,Add,0,0,No explanation given,
axios/axios#2541c1,Description of implementation,Function summary,Add,1,0,,Feature is not needed
flutter/flutter#34870c2,Description of quality,Test,Add,1,1,,
twbs/bootstrap#17815c1,Description of implementation,Function summary,Add,0,1,Resolved the problem in another location,
flutter/flutter#85113c3,Description of motivation,Motivation,Add,1,0,,No response from developer
flutter/flutter#85113c3,Description of implementation,Function summary,Add,1,0,,No response from developer
flutter/flutter#85113c3,Description of problem,Related issue,Add,1,0,,No response from developer
flutter/flutter#85113c3,Description of quality,Test,Add,1,0,,No response from developer
vercel/next.js#22202c3,Description of motivation,Motivation,Add,1,0,,Feature is not needed
nodejs/node#2359c7,Description of implementation,Function summary,Add,0,1,Suggestion is incorrect,
nodejs/node#9483c22,Description of implementation,Function summary,Update,0,0,No explanation given,
tensorflow/tensorflow#55196c3,Description of implementation,Function summary,Add,1,1,,
electron/electron#19698c2,Miscellaneous,Template content,Add,1,1,,
axios/axios#4147c3,Description of problem,Related issue,Add,1,1,,
electron/electron#13944c6,Description of implementation,Release notes,Add,1,1,,
flutter/flutter#120739c1,Description of motivation,Motivation,Add,1,1,,
nodejs/node#47125c12,Description of implementation,Release notes,Add,0,1,Suggestion is posted after pull request closure,
tensorflow/tensorflow#55491c2,Description of implementation,Function summary,Update,0,1,No explanation given,
flutter/flutter#60558c2,Description of implementation,Function summary,Add,1,1,,
flutter/flutter#60558c2,Description of problem,Related issue,Add,1,1,,
facebook/react#15022c12,Description of implementation,Effect,Update,1,1,,
tensorflow/tensorflow#50756c13,Description of implementation,Function summary,Update,1,1,,
electron/electron#13284c1,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#51470c1,Description of implementation,Function summary,Add,1,1,,
nodejs/node#38123c1,Description of problem,Related issue,Update,0,0,No explanation given,
vercel/next.js#40853c1,Description of problem,Related issue,Add,1,0,,Incorrect or inappropriate change
flutter/flutter#47389c1,Description of problem,Problem statement,Add,0,1,Resolved the problem in another location,
flutter/flutter#13299c2,Description of implementation,Technical details,Update,1,1,,
facebook/react-native#19489c21,Description of problem,Problem statement,Add,1,0,,Replaced by another pull request
flutter/flutter#51223c2,Description of implementation,Function summary,Add,0,0,No explanation given,
flutter/flutter#51223c3,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
flutter/flutter#29901c1,Description of quality,Checklist,Update,0,0,No explanation given,
flutter/flutter#18369c17,Description of implementation,Function summary,Update,1,1,,
microsoft/vscode#5489c4,Description of implementation,Function summary,Update,0,1,Resolved the problem in another location,
facebook/react-native#15688c3,Description of problem,Problem statement,Add,1,1,,
microsoft/vscode#77274c1,Description of implementation,Function summary,Add,0,0,No explanation given,
golang/go#31994c3,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#29090c4,Description of problem,Related issue,Add,0,0,Suggestion is posted after pull request closure,
flutter/flutter#29090c4,Description of implementation,Function summary,Add,0,0,Suggestion is posted after pull request closure,
flutter/flutter#29090c4,Description of quality,Test,Add,0,0,Suggestion is posted after pull request closure,
nodejs/node#4507c9,Description of motivation,Motivation,Add,0,1,No explanation given,
tensorflow/tensorflow#52012c4,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#65150c1,Description of motivation,Motivation,Update,1,1,,
facebook/react-native#32435c6,Description of implementation,Category of pull request,Update,1,1,,
golang/go#31953c7,Description of problem,Related issue,Add,1,0,,Feature is not needed
vercel/next.js#44023c2,Description of implementation,Effect,Add,1,0,,Incorrect or inappropriate change
tensorflow/tensorflow#47258c4,Description of implementation,Effect,Add,1,1,,
flutter/flutter#66512c3,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#66512c3,Description of quality,Test,Add,0,0,No explanation given,
facebook/react-native#28566c6,Description of quality,Test,Add,0,0,Difficult to modify,
flutter/flutter#44980c1,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#44980c1,Description of quality,Checklist,Update,1,1,,
tensorflow/tensorflow#20430c4,Description of implementation,Function summary,Update,0,1,Suggestion is incorrect,
tensorflow/tensorflow#24293c35,Description of implementation,Function summary,Update,0,1,No explanation given,
electron/electron#11573c5,Description of problem,Problem statement,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#29440c2,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#82754c1,Description of problem,Related issue,Add,1,1,,
tensorflow/tensorflow#53259c5,Description of motivation,Motivation,Add,0,0,No explanation given,
facebook/react-native#10772c47,Description of implementation,Function summary,Update,0,0,Resolved the problem in another location,
nodejs/node#12797c2,Description of motivation,Motivation,Add,0,0,No explanation given,
electron/electron#26278c1,Description of implementation,Function summary,Add,0,0,No explanation given,
tensorflow/tensorflow#51235c3,Description of motivation,Motivation,Update,1,1,,
facebook/react-native#7625c17,Description of implementation,Function summary,Add,0,0,Suggestion is posted after pull request closure,
facebook/react-native#7625c17,Description of motivation,Motivation,Add,0,0,Suggestion is posted after pull request closure,
tensorflow/tensorflow#36969c7,Description of implementation,Effect,Add,0,0,No explanation given,
facebook/react#21641c2,Description of problem,Related issue,Update,1,1,,
flutter/flutter#64199c1,Description of problem,Related issue,Add,1,1,,
ytdl-org/youtube-dl#31953c1,Description of motivation,Motivation,Add,0,0,No explanation given,
flutter/flutter#28688c3,Description of problem,Related issue,Update,1,1,,
twbs/bootstrap#37311c1,Description of problem,Problem statement,Add,1,0,,Feature is not needed
golang/go#34030c21,Description of implementation,Function summary,Update,1,1,,
nodejs/node#30022c3,Description of problem,Related issue,Add,0,1,Resolved the problem in another location,
flutter/flutter#37652c4,Description of implementation,Trade-off,Add,1,1,,
flutter/flutter#121999c4,Description of implementation,Function summary,Update,1,0,,Feature is not needed
electron/electron#19427c1,Description of implementation,Function summary,Add,1,1,,
electron/electron#19427c1,Description of implementation,Release notes,Add,1,1,,
electron/electron#37514c1,Description of implementation,Release notes,Add,0,1,Suggestion is incorrect,
flutter/flutter#30983c4,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#37936c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
microsoft/vscode#66618c2,Description of implementation,Function summary,Add,1,1,,
nodejs/node#33189c36,Description of problem,Related issue,Add,1,0,,Replaced by another pull request
nodejs/node#16270c1,Description of motivation,Motivation,Add,1,1,,
nodejs/node#10859c1,Description of quality,Checklist,Update,1,1,,
facebook/react-native#13957c4,Description of implementation,Function summary,Update,0,1,No explanation given,
tensorflow/tensorflow#56869c4,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#56869c4,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#34052c1,Description of implementation,Function summary,Add,1,1,,
tensorflow/tensorflow#34052c1,Description of quality,Test,Add,1,1,,
tensorflow/tensorflow#34248c2,Description of quality,Test,Add,0,0,No explanation given,
flutter/flutter#32437c1,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#115186c3,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#93408c4,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#93408c4,Description of problem,Related issue,Add,1,1,,
twbs/bootstrap#36532c1,Description of implementation,Function summary,Add,0,0,No explanation given,
axios/axios#3831c1,Description of implementation,Function summary,Add,1,0,,Feature is not needed
flutter/flutter#59103c1,Description of problem,Problem statement,Add,0,0,No explanation given,
facebook/react-native#13809c3,Description of motivation,Motivation,Add,0,0,No explanation given,
vercel/next.js#3724c2,Description of problem,Problem statement,Add,0,0,No explanation given,
flutter/flutter#57670c2,Description of implementation,Function summary,Update,1,1,,
tensorflow/tensorflow#30101c3,Description of implementation,Function summary,Update,1,1,,
tensorflow/tensorflow#30987c1,Description of motivation,Motivation,Update,0,1,Resolved the problem in another location,
flutter/flutter#57988c3,Description of quality,Test,Add,0,0,No explanation given,
facebook/react-native#9788c14,Description of quality,Test,Add,1,0,,No response from developer
flutter/flutter#121588c6,Description of implementation,Function summary,Add,1,0,,Replaced by another pull request
nodejs/node#14334c1,Miscellaneous,Format change,Update,0,1,No explanation given,
nodejs/node#11630c1,Description of problem,Problem statement,Add,1,0,,Feature is not needed
nodejs/node#31257c9,Description of implementation,Function summary,Update,1,1,,
facebook/react-native#20025c27,Description of problem,Problem statement,Add,0,1,No explanation given,
facebook/react-native#20025c27,Description of quality,Test,Add,0,1,No explanation given,
flutter/flutter#51335c2,Description of problem,Problem statement,Update,1,1,,
nodejs/node#46083c17,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#56334c2,Description of implementation,Effect,Add,1,0,,Replaced by another pull request
electron/electron#16625c2,Description of implementation,Trade-off,Add,1,1,,
tensorflow/tensorflow#55379c1,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#55379c1,Description of implementation,Function summary,Add,1,1,,
nodejs/node#16802c1,Description of quality,Checklist,Update,1,1,,
nodejs/node#7062c2,Miscellaneous,Format change,Update,1,1,,
nodejs/node#18170c1,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#34480c4,Description of problem,Related issue,Add,0,0,No explanation given,
tensorflow/tensorflow#33638c1,Description of problem,Problem statement,Add,0,1,Resolved the problem in another location,
flutter/flutter#60640c5,Description of problem,Related issue,Add,1,1,,
flutter/flutter#35066c1,Description of implementation,Function summary,Add,1,1,,
flutter/flutter#43466c6,Description of implementation,Trade-off,Add,1,1,,
facebook/react#13596c3,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#55655c5,Description of implementation,Effect,Delete,1,1,,
flutter/flutter#119035c1,Description of problem,Related issue,Add,1,1,,
flutter/flutter#34252c4,Description of implementation,Function summary,Update,1,1,,
twbs/bootstrap#25181c1,Description of implementation,Function summary,Add,0,0,No explanation given,
tensorflow/tensorflow#36285c2,Description of implementation,Function summary,Update,0,1,Resolved the problem in another location,
facebook/react-native#35608c7,Description of problem,Problem statement,Add,0,0,No explanation given,
facebook/react-native#35608c7,Description of implementation,Technical details,Add,0,0,No explanation given,
facebook/react-native#35608c7,Description of quality,Test,Add,0,0,No explanation given,
flutter/flutter#103092c1,Miscellaneous,Template content,Delete,1,1,,
facebook/react-native#21820c22,Description of motivation,Motivation,Add,1,0,,Feature is not needed
electron/electron#13808c2,Description of implementation,Function summary,Add,1,1,,
flutter/flutter#91990c1,Description of implementation,Function summary,Add,0,0,No explanation given,
flutter/flutter#81140c2,Description of motivation,Motivation,Add,0,0,No explanation given,
tensorflow/tensorflow#21132c2,Description of implementation,Function summary,Update,0,0,No explanation given,
facebook/react-native#12489c3,Description of quality,Test,Add,0,0,Resolved the problem in another location,
facebook/react-native#12489c3,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
electron/electron#16276c3,Description of motivation,Motivation,Update,1,1,,
flutter/flutter#20840c3,Description of implementation,Effect,Add,0,1,No explanation given,
facebook/react-native#7220c9,Description of implementation,Effect,Add,1,1,,
flutter/flutter#120855c1,Description of implementation,Function summary,Update,0,0,No explanation given,
nodejs/node#22315c2,Description of motivation,Motivation,Add,1,1,,
flutter/flutter#27953c1,Description of implementation,Function summary,Add,1,1,,
golang/go#37386c2,Description of quality,Test,Update,1,0,,Feature is not needed
tensorflow/tensorflow#24327c2,Description of motivation,Motivation,Update,1,1,,
flutter/flutter#818c2,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
facebook/react-native#11647c3,Description of motivation,Motivation,Add,0,0,No explanation given,
electron/electron#13505c1,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#38643c1,Description of implementation,Function summary,Add,1,1,,
flutter/flutter#38643c1,Description of motivation,Motivation,Add,1,1,,
tensorflow/tensorflow#54505c1,Miscellaneous,Assignee,Delete,1,1,,
twbs/bootstrap#37356c1,Description of problem,Problem statement,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#41296c2,Description of implementation,Function summary,Add,1,1,,
nodejs/node#45491c3,Description of implementation,Function summary,Update,0,0,No explanation given,
facebook/react#16104c6,Description of implementation,Function summary,Update,1,1,,
golang/go#38191c3,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#27778c1,Description of motivation,Motivation,Update,0,0,No explanation given,
flutter/flutter#123216c3,Description of problem,Problem statement,Add,0,0,No explanation given,
flutter/flutter#123216c3,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react-native#7344c13,Description of implementation,Function summary,Update,1,0,,Replaced by another pull request
flutter/flutter#34188c8,Description of implementation,Trade-off,Add,1,1,,
flutter/flutter#61609c2,Description of problem,Problem statement,Add,0,0,Resolved the problem in another location,
nodejs/node#31950c57,Description of implementation,Function summary,Update,1,1,,
axios/axios#5420c2,Description of problem,Related issue,Update,0,1,No explanation given,
tensorflow/tensorflow#32636c4,Description of implementation,Function summary,Add,0,0,No explanation given,
tensorflow/tensorflow#42023c2,Description of motivation,Motivation,Add,1,0,,Incorrect or inappropriate change
nodejs/node#17560c7,Description of implementation,Function summary,Add,0,1,No explanation given,
flutter/flutter#26847c4,Description of implementation,Function summary,Add,1,0,,No response from developer
facebook/react-native#14906c3,Description of implementation,Function summary,Add,1,0,,Feature is not needed
twbs/bootstrap#6342c90,Description of implementation,Function summary,Update,0,1,No explanation given,
electron/electron#15755c1,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#56072c3,Description of problem,Problem statement,Update,1,1,,
microsoft/vscode#75052c1,Description of motivation,Motivation,Add,1,0,,No response from developer
flutter/flutter#26208c2,Description of motivation,Motivation,Add,1,0,,Replaced by another pull request
facebook/react-native#20293c2,Description of motivation,Motivation,Update,1,1,,
nodejs/node#15126c14,Description of motivation,Motivation,Update,0,0,No explanation given,
nodejs/node#10713c3,Description of implementation,Function summary,Add,1,1,,
nodejs/node#11020c1,Description of problem,Related issue,Add,1,1,,
electron/electron#26363c3,Description of problem,Related issue,Add,1,0,,Feature is not needed
tensorflow/tensorflow#53421c2,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
golang/go#39474c5,Description of motivation,Motivation,Add,0,0,No explanation given,
nodejs/node#20075c4,Description of problem,Related issue,Add,1,1,,
flutter/flutter#100133c4,Description of problem,Problem statement,Add,0,0,No explanation given,
tensorflow/tensorflow#52040c1,Description of implementation,Effect,Update,1,1,,
tensorflow/tensorflow#26936c6,Description of implementation,Function summary,Add,1,1,,
facebook/react-native#12329c1,Description of implementation,Trade-off,Add,1,1,,
nodejs/node#29522c3,Description of problem,Related issue,Add,1,1,,
flutter/flutter#42100c7,Description of implementation,Trade-off,Add,1,1,,
tensorflow/tensorflow#31559c1,Description of implementation,Function summary,Add,0,1,No explanation given,
tensorflow/tensorflow#47154c3,Description of implementation,Effect,Add,1,1,,
nodejs/node#33155c7,Description of quality,Test,Add,0,1,No explanation given,
facebook/react-native#16500c7,Description of problem,Related issue,Update,1,1,,
nodejs/node#12972c2,Description of implementation,Function summary,Update,1,1,,
flutter/flutter#30414c2,Description of implementation,Trade-off,Add,1,1,,
