identifier,close_time,author_association,comment_association,category,information_element,modification_type,merged,modified,repo,Reason_for_not_following
nodejs/node#47078,875003,MEMBER,CONTRIBUTOR,Implementation,Add release notes,Add,1,0,nodejs/node,Suggestion is posted after PR closure
tensorflow/tensorflow#54453,5701941,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
nodejs/node#33922,36799,NONE,MEMBER,Implementation,Add function summary,Add,0,0,nodejs/node,No explanation given
nodejs/node#33922,36799,NONE,MEMBER,Motivation,Add motivation,Add,0,0,nodejs/node,No explanation given
tensorflow/tensorflow#28949,154432,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,tensorflow/tensorflow,No explanation given
axios/axios#1915,5071002,NONE,NONE,Miscellaneous,Delete template content,Delete,0,0,axios/axios,No explanation given
facebook/react#18029,529544,COLLABORATOR,COLLABORATOR,Implementation,Add technical details,Add,1,0,facebook/react,No explanation given
flutter/flutter#38568,778655,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update effect,Update,1,1,flutter/flutter,
flutter/flutter#119904,5151372,NONE,MEMBER,Problem,Add related issue,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#11988,1056928,MEMBER,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
electron/electron#13245,333803,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add release notes,Add,1,1,electron/electron,
nodejs/node#33317,29030211,MEMBER,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
tensorflow/tensorflow#54788,1228775,CONTRIBUTOR,CONTRIBUTOR,Implementation,Delete technical details,Delete,1,1,tensorflow/tensorflow,
facebook/react#19997,63922994,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,1,facebook/react,
facebook/react#19997,63922994,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,facebook/react,
flutter/flutter#32970,108398,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
microsoft/vscode#122969,6527763,NONE,CONTRIBUTOR,Problem,Add problem statement,Add,1,1,microsoft/vscode,
flutter/flutter#18189,63449,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,flutter/flutter,No explanation given
tensorflow/tensorflow#26358,552340,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
flutter/flutter#117540,1054708,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,flutter/flutter,No explanation given
nodejs/node#45693,531077,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,nodejs/node,
tensorflow/tensorflow#54373,20689355,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,tensorflow/tensorflow,No explanation given
facebook/react-native#32164,1257967,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,facebook/react-native,No explanation given
nodejs/node#7130,37097,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
flutter/flutter#51435,162812,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,flutter/flutter,
golang/go#29460,93471526,NONE,NONE,Miscellaneous,Format change,Update,0,1,golang/go,
electron/electron#27006,67983,CONTRIBUTOR,MEMBER,Implementation,Add release notes,Add,1,1,electron/electron,
tensorflow/tensorflow#40367,1114948,MEMBER,CONTRIBUTOR,Problem,Add problem statement,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#31601,13552006,CONTRIBUTOR,COLLABORATOR,Motivation,Add motivation,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
tensorflow/tensorflow#53659,12022790,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,tensorflow/tensorflow,No explanation given
axios/axios#3581,31186985,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,1,1,axios/axios,
facebook/react#2368,63473,COLLABORATOR,MEMBER,Quality,Add test,Add,1,0,facebook/react,Difficult to Modify
flutter/flutter#122636,83,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,0,flutter/flutter,Problem is resolved in subsequent comments
tensorflow/tensorflow#33114,1839750,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
facebook/react-native#22670,3502908,COLLABORATOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,facebook/react-native,No explanation given
twbs/bootstrap#3669,121850,NONE,MEMBER,Problem,Add problem statement,Add,0,0,twbs/bootstrap,No explanation given
twbs/bootstrap#24594,6106,NONE,MEMBER,Implementation,Add function summary,Add,0,0,twbs/bootstrap,No explanation given
facebook/react#22999,104116,NONE,COLLABORATOR,Implementation,Add function summary,Add,0,0,facebook/react,No explanation given
facebook/react#22999,104116,NONE,COLLABORATOR,Motivation,Add motivation,Add,0,0,facebook/react,No explanation given
flutter/flutter#8914,64689,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,flutter/flutter,
ytdl-org/youtube-dl#30366,136481,NONE,CONTRIBUTOR,Problem,Add related issue,Add,1,1,ytdl-org/youtube-dl,
tensorflow/tensorflow#30949,1146321,NONE,CONTRIBUTOR,Quality,Add test,Add,0,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
tensorflow/tensorflow#30949,1146321,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
tensorflow/tensorflow#41981,2709922,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
golang/go#24927,3369,CONTRIBUTOR,NONE,Miscellaneous,Delete template content,Delete,0,1,golang/go,
electron/electron#29380,3621071,CONTRIBUTOR,NONE,Implementation,Update function summary,Update,1,0,electron/electron,Suggestion is posted after PR closure
golang/go#36920,2279287,CONTRIBUTOR,NONE,Problem,Add problem statement,Add,0,0,golang/go,Problem is resolved in subsequent comments
tensorflow/tensorflow#50408,10447149,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
nodejs/node#46108,173229,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,1,0,nodejs/node,Difficult to Modify
nodejs/node#15648,170715,MEMBER,MEMBER,Motivation,Update motivation,Update,0,1,nodejs/node,
nodejs/node#29526,873109,MEMBER,MEMBER,Motivation,Add motivation,Add,0,1,nodejs/node,
tensorflow/tensorflow#56465,1860041,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#56465,1860041,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
flutter/flutter#20887,66241,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add effect,Add,1,1,flutter/flutter,
ytdl-org/youtube-dl#25734,21834588,NONE,NONE,Quality,Update limitation,Update,0,1,ytdl-org/youtube-dl,
nodejs/node#45512,1214364,MEMBER,MEMBER,Motivation,Add motivation,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
tensorflow/tensorflow#56780,7691741,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,tensorflow/tensorflow,
facebook/react-native#12682,9963279,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,1,facebook/react-native,
facebook/react-native#12682,9963279,NONE,CONTRIBUTOR,Quality,Add test,Add,0,1,facebook/react-native,
vercel/next.js#28997,96,NONE,MEMBER,Quality,Update checklist,Update,0,1,vercel/next.js,
microsoft/vscode#114669,76592,COLLABORATOR,MEMBER,Problem,Add related issue,Add,1,1,microsoft/vscode,
ytdl-org/youtube-dl#31243,1842948,CONTRIBUTOR,NONE,Problem,Update related issue,Update,1,1,ytdl-org/youtube-dl,
tensorflow/tensorflow#18433,2923457,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
nodejs/node#46085,289644,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,nodejs/node,
facebook/react-native#19768,20205687,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add effect,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
flutter/flutter#24265,6119325,CONTRIBUTOR,CONTRIBUTOR,Problem,Update related issue,Update,0,1,flutter/flutter,
tensorflow/tensorflow#27175,825779,CONTRIBUTOR,COLLABORATOR,Implementation,Add function summary,Add,0,0,tensorflow/tensorflow,No explanation given
flutter/flutter#31812,150923,NONE,MEMBER,Problem,Update problem statement,Update,1,1,flutter/flutter,
flutter/flutter#63610,1106645,MEMBER,MEMBER,Implementation,Add effect,Add,1,1,flutter/flutter,
tensorflow/tensorflow#52295,1755482,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#52295,1755482,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,tensorflow/tensorflow,
facebook/react-native#16464,21650,CONTRIBUTOR,CONTRIBUTOR,Miscellaneous,Format change,Update,0,1,facebook/react-native,
tensorflow/tensorflow#39700,733442,NONE,COLLABORATOR,Implementation,Add function summary,Add,0,0,tensorflow/tensorflow,No explanation given
facebook/react-native#17583,23513357,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,facebook/react-native,Suggestion is posted after PR closure
nodejs/node#44710,17869856,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add release notes,Add,1,1,nodejs/node,
flutter/flutter#103975,10920,NONE,CONTRIBUTOR,Motivation,Update motivation,Update,0,0,flutter/flutter,No explanation given
flutter/flutter#36757,474897,NONE,CONTRIBUTOR,Problem,Add related issue,Add,0,0,flutter/flutter,Problem is resolved in subsequent comments
flutter/flutter#50259,90971,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
tensorflow/tensorflow#37514,164996,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,1,1,tensorflow/tensorflow,
electron/electron#24054,70988,MEMBER,MEMBER,Motivation,Add motivation,Add,1,0,electron/electron,Problem is resolved in subsequent comments
nodejs/node#17159,760770,MEMBER,NONE,Motivation,Add motivation,Add,0,0,nodejs/node,Suggestion is posted after PR closure
vercel/next.js#19445,70611,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,vercel/next.js,No explanation given
tensorflow/tensorflow#57537,163715,CONTRIBUTOR,CONTRIBUTOR,Implementation,Delete technical details,Delete,1,1,tensorflow/tensorflow,
electron/electron#14651,2758310,NONE,MEMBER,Implementation,Add function summary,Add,0,1,electron/electron,
microsoft/vscode#161000,3098652,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,microsoft/vscode,No explanation given
electron/electron#37341,21106,NONE,NONE,Implementation,Add release notes,Add,0,0,electron/electron,No explanation given
nodejs/node#20745,10210256,MEMBER,MEMBER,Implementation,Update function summary,Update,0,1,nodejs/node,
nodejs/node#3933,40312777,NONE,MEMBER,Problem,Add problem statement,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
golang/go#39494,47839398,NONE,NONE,Problem,Add related issue,Add,0,0,golang/go,No explanation given
flutter/flutter#44778,176939,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
tensorflow/tensorflow#27678,155520,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
facebook/react#22995,111185,NONE,COLLABORATOR,Implementation,Add function summary,Add,0,0,facebook/react,No explanation given
facebook/react#22995,111185,NONE,COLLABORATOR,Motivation,Add motivation,Add,0,0,facebook/react,No explanation given
axios/axios#2541,7339572,COLLABORATOR,COLLABORATOR,Implementation,Add function summary,Add,0,1,axios/axios,
flutter/flutter#34870,292829,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,1,1,flutter/flutter,
twbs/bootstrap#17815,7760731,NONE,MEMBER,Implementation,Add function summary,Add,0,0,twbs/bootstrap,Problem is resolved in subsequent comments
flutter/flutter#85113,18106466,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,1,flutter/flutter,
flutter/flutter#85113,18106466,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,flutter/flutter,
flutter/flutter#85113,18106466,NONE,CONTRIBUTOR,Problem,Add related issue,Add,0,1,flutter/flutter,
flutter/flutter#85113,18106466,NONE,CONTRIBUTOR,Quality,Add test,Add,0,1,flutter/flutter,
vercel/next.js#22202,25544637,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,vercel/next.js,
nodejs/node#2359,745798,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,nodejs/node,Suggestion is incorrect
nodejs/node#9483,8266835,MEMBER,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,nodejs/node,No explanation given
tensorflow/tensorflow#55196,924988,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
electron/electron#19698,1586259,CONTRIBUTOR,CONTRIBUTOR,Miscellaneous,Add template content,Add,1,1,electron/electron,
axios/axios#4147,496040,COLLABORATOR,CONTRIBUTOR,Problem,Add related issue,Add,1,1,axios/axios,
electron/electron#13944,1375741,CONTRIBUTOR,MEMBER,Implementation,Add release notes,Add,1,1,electron/electron,
flutter/flutter#120739,633,MEMBER,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
nodejs/node#47125,2072419,MEMBER,CONTRIBUTOR,Implementation,Add release notes,Add,1,0,nodejs/node,Suggestion is posted after PR closure
tensorflow/tensorflow#55491,2678050,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,tensorflow/tensorflow,No explanation given
flutter/flutter#60558,4829018,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
flutter/flutter#60558,4829018,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,1,1,flutter/flutter,
facebook/react#15022,11498883,COLLABORATOR,NONE,Implementation,Update effect,Update,1,1,facebook/react,
tensorflow/tensorflow#50756,4270189,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
electron/electron#13284,57658,MEMBER,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,electron/electron,
tensorflow/tensorflow#51470,15666875,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
nodejs/node#38123,488838,CONTRIBUTOR,MEMBER,Problem,Update related issue,Update,0,0,nodejs/node,No explanation given
vercel/next.js#40853,1043093,NONE,CONTRIBUTOR,Problem,Add related issue,Add,0,1,vercel/next.js,
flutter/flutter#47389,7635,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,1,0,flutter/flutter,Problem is resolved in subsequent comments
flutter/flutter#13299,2354,MEMBER,CONTRIBUTOR,Implementation,Update technical details,Update,1,1,flutter/flutter,
facebook/react-native#19489,15782040,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,0,1,facebook/react-native,
flutter/flutter#51223,837916,NONE,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#51223,837916,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,flutter/flutter,Problem is resolved in subsequent comments
flutter/flutter#29901,90240,NONE,MEMBER,Quality,Update checklist,Update,0,0,flutter/flutter,No explanation given
flutter/flutter#18369,1895217,MEMBER,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
microsoft/vscode#5489,5472292,MEMBER,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,microsoft/vscode,Problem is resolved in subsequent comments
facebook/react-native#15688,2015451,NONE,CONTRIBUTOR,Problem,Add problem statement,Add,0,1,facebook/react-native,
microsoft/vscode#77274,1479309,MEMBER,NONE,Implementation,Add function summary,Add,0,0,microsoft/vscode,No explanation given
golang/go#31994,81846857,NONE,NONE,Problem,Add related issue,Add,0,0,golang/go,No explanation given
flutter/flutter#29090,34813,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,0,0,flutter/flutter,Suggestion is posted after PR closure
flutter/flutter#29090,34813,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,Suggestion is posted after PR closure
flutter/flutter#29090,34813,CONTRIBUTOR,MEMBER,Quality,Add test,Add,0,0,flutter/flutter,Suggestion is posted after PR closure
nodejs/node#4507,3631527,CONTRIBUTOR,NONE,Motivation,Add motivation,Add,1,0,nodejs/node,No explanation given
tensorflow/tensorflow#52012,2281978,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
flutter/flutter#65150,581609,CONTRIBUTOR,MEMBER,Motivation,Update motivation,Update,1,1,flutter/flutter,
facebook/react-native#32435,522412,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update category of pull request,Update,0,1,facebook/react-native,
golang/go#31953,78337,NONE,NONE,Problem,Add related issue,Add,0,1,golang/go,
vercel/next.js#44023,94744,CONTRIBUTOR,MEMBER,Implementation,Add effect,Add,0,1,vercel/next.js,
tensorflow/tensorflow#47258,314267,MEMBER,CONTRIBUTOR,Implementation,Add effect,Add,1,1,tensorflow/tensorflow,
flutter/flutter#66512,1578058,NONE,CONTRIBUTOR,Problem,Add related issue,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#66512,1578058,NONE,CONTRIBUTOR,Quality,Add test,Add,0,0,flutter/flutter,No explanation given
facebook/react-native#28566,96159181,NONE,CONTRIBUTOR,Quality,Add test,Add,0,0,facebook/react-native,Difficult to Modify
flutter/flutter#44980,22316109,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,flutter/flutter,
flutter/flutter#44980,22316109,CONTRIBUTOR,CONTRIBUTOR,Quality,Update checklist,Update,1,1,flutter/flutter,
tensorflow/tensorflow#20430,13397,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,tensorflow/tensorflow,Suggestion is incorrect
tensorflow/tensorflow#24293,11573031,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,tensorflow/tensorflow,No explanation given
electron/electron#11573,8102691,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,0,0,electron/electron,Problem is resolved in subsequent comments
tensorflow/tensorflow#29440,3739925,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,tensorflow/tensorflow,
flutter/flutter#82754,8616,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,1,1,flutter/flutter,
tensorflow/tensorflow#53259,24367358,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,tensorflow/tensorflow,No explanation given
facebook/react-native#10772,22110425,NONE,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,facebook/react-native,Problem is resolved in subsequent comments
nodejs/node#12797,1989,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,nodejs/node,No explanation given
electron/electron#26278,225112,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,electron/electron,No explanation given
tensorflow/tensorflow#51235,3757086,CONTRIBUTOR,CONTRIBUTOR,Motivation,Update motivation,Update,1,1,tensorflow/tensorflow,
facebook/react-native#7625,15542900,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,facebook/react-native,Suggestion is posted after PR closure
facebook/react-native#7625,15542900,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,facebook/react-native,Suggestion is posted after PR closure
tensorflow/tensorflow#36969,8802548,CONTRIBUTOR,MEMBER,Implementation,Add effect,Add,0,0,tensorflow/tensorflow,No explanation given
facebook/react#21641,2065645,COLLABORATOR,CONTRIBUTOR,Problem,Update related issue,Update,1,1,facebook/react,
flutter/flutter#64199,81014,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,1,1,flutter/flutter,
ytdl-org/youtube-dl#31953,694650,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,ytdl-org/youtube-dl,No explanation given
flutter/flutter#28688,616562,CONTRIBUTOR,MEMBER,Problem,Update related issue,Update,1,1,flutter/flutter,
twbs/bootstrap#37311,1515884,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,0,1,twbs/bootstrap,
golang/go#34030,687422,CONTRIBUTOR,NONE,Implementation,Update function summary,Update,0,1,golang/go,
nodejs/node#30022,187876,MEMBER,MEMBER,Problem,Add related issue,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
flutter/flutter#37652,858822,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,flutter/flutter,
flutter/flutter#121999,262303,NONE,MEMBER,Implementation,Update function summary,Update,0,1,flutter/flutter,
electron/electron#19427,1155637,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,electron/electron,
electron/electron#19427,1155637,CONTRIBUTOR,MEMBER,Implementation,Add release notes,Add,1,1,electron/electron,
electron/electron#37514,9358,MEMBER,MEMBER,Implementation,Add release notes,Add,1,0,electron/electron,Suggestion is incorrect
flutter/flutter#30983,1630232,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
tensorflow/tensorflow#37936,4962103,CONTRIBUTOR,NONE,Motivation,Add motivation,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
microsoft/vscode#66618,2471305,CONTRIBUTOR,NONE,Implementation,Add function summary,Add,1,1,microsoft/vscode,
nodejs/node#33189,2596622,MEMBER,MEMBER,Problem,Add related issue,Add,0,1,nodejs/node,
nodejs/node#16270,171699,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,nodejs/node,
nodejs/node#10859,467833,CONTRIBUTOR,CONTRIBUTOR,Quality,Update checklist,Update,0,1,nodejs/node,
facebook/react-native#13957,9521577,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,facebook/react-native,No explanation given
tensorflow/tensorflow#56869,11218427,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#56869,11218427,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#34052,41892,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#34052,41892,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#34248,4308493,NONE,COLLABORATOR,Quality,Add test,Add,0,0,tensorflow/tensorflow,No explanation given
flutter/flutter#32437,934459,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
flutter/flutter#115186,4562510,NONE,CONTRIBUTOR,Problem,Add related issue,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#93408,13163766,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
flutter/flutter#93408,13163766,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,1,1,flutter/flutter,
twbs/bootstrap#36532,5905,NONE,MEMBER,Implementation,Add function summary,Add,0,0,twbs/bootstrap,No explanation given
axios/axios#3831,16957260,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,axios/axios,
flutter/flutter#59103,4704382,NONE,CONTRIBUTOR,Problem,Add problem statement,Add,0,0,flutter/flutter,No explanation given
facebook/react-native#13809,4070,NONE,MEMBER,Motivation,Add motivation,Add,0,0,facebook/react-native,No explanation given
vercel/next.js#3724,1320,NONE,MEMBER,Problem,Add problem statement,Add,0,0,vercel/next.js,No explanation given
flutter/flutter#57670,120596,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,flutter/flutter,
tensorflow/tensorflow#30101,1457245,NONE,MEMBER,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#30987,137224,CONTRIBUTOR,CONTRIBUTOR,Motivation,Update motivation,Update,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
