identifier,close_time,author_association,comment_association,category,information_element,modification_type,merged,modified,repo,Reason_for_not_following
flutter/flutter#57988,49772,NONE,MEMBER,Quality,Add test,Add,0,0,flutter/flutter,No explanation given
facebook/react-native#9788,8596069,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,0,1,facebook/react-native,
flutter/flutter#121588,740758,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,flutter/flutter,
nodejs/node#14334,296456,NONE,MEMBER,Miscellaneous,Format change,Update,0,0,nodejs/node,No explanation given
nodejs/node#11630,2298706,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,0,1,nodejs/node,
nodejs/node#31257,234701,MEMBER,CONTRIBUTOR,Implementation,Update function summary,Update,0,1,nodejs/node,
facebook/react-native#20025,23023965,CONTRIBUTOR,COLLABORATOR,Problem,Add problem statement,Add,0,0,facebook/react-native,No explanation given
facebook/react-native#20025,23023965,CONTRIBUTOR,COLLABORATOR,Quality,Add test,Add,0,0,facebook/react-native,No explanation given
flutter/flutter#51335,1229110,CONTRIBUTOR,MEMBER,Problem,Update problem statement,Update,1,1,flutter/flutter,
nodejs/node#46083,550441,MEMBER,MEMBER,Motivation,Add motivation,Add,1,0,nodejs/node,Problem is resolved in subsequent comments
tensorflow/tensorflow#56334,13046122,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add effect,Add,0,1,tensorflow/tensorflow,
electron/electron#16625,7211,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,electron/electron,
tensorflow/tensorflow#55379,827129,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#55379,827129,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
nodejs/node#16802,9613,CONTRIBUTOR,MEMBER,Quality,Update checklist,Update,0,1,nodejs/node,
nodejs/node#7062,617699,CONTRIBUTOR,MEMBER,Miscellaneous,Format change,Update,0,1,nodejs/node,
nodejs/node#18170,1239636,MEMBER,MEMBER,Motivation,Add motivation,Add,0,1,nodejs/node,
tensorflow/tensorflow#34480,273421,NONE,COLLABORATOR,Problem,Add related issue,Add,0,0,tensorflow/tensorflow,No explanation given
tensorflow/tensorflow#33638,546248,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
flutter/flutter#60640,1164923,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,1,1,flutter/flutter,
flutter/flutter#35066,189814,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,flutter/flutter,
flutter/flutter#43466,939662,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,flutter/flutter,
facebook/react#13596,904684,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,facebook/react,
tensorflow/tensorflow#55655,1210805,CONTRIBUTOR,CONTRIBUTOR,Implementation,Delete effect,Delete,1,1,tensorflow/tensorflow,
flutter/flutter#119035,2352,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,1,1,flutter/flutter,
flutter/flutter#34252,4758717,MEMBER,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
twbs/bootstrap#25181,61583,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,twbs/bootstrap,No explanation given
tensorflow/tensorflow#36285,1154090,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
facebook/react-native#35608,6478321,NONE,CONTRIBUTOR,Problem,Add problem statement,Add,0,0,facebook/react-native,No explanation given
facebook/react-native#35608,6478321,NONE,CONTRIBUTOR,Implementation,Add technical details,Add,0,0,facebook/react-native,No explanation given
facebook/react-native#35608,6478321,NONE,CONTRIBUTOR,Quality,Add test,Add,0,0,facebook/react-native,No explanation given
flutter/flutter#103092,1716659,CONTRIBUTOR,MEMBER,Miscellaneous,Delete template content,Delete,1,1,flutter/flutter,
facebook/react-native#21820,12697637,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,0,1,facebook/react-native,
electron/electron#13808,2592614,NONE,MEMBER,Implementation,Add function summary,Add,1,1,electron/electron,
flutter/flutter#91990,79068,MEMBER,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#81140,7499687,NONE,MEMBER,Motivation,Add motivation,Add,0,0,flutter/flutter,No explanation given
tensorflow/tensorflow#21132,1374531,NONE,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,tensorflow/tensorflow,No explanation given
facebook/react-native#12489,7205266,NONE,CONTRIBUTOR,Quality,Add test,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
facebook/react-native#12489,7205266,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
electron/electron#16276,687351,MEMBER,MEMBER,Motivation,Update motivation,Update,1,1,electron/electron,
flutter/flutter#20840,1296793,MEMBER,CONTRIBUTOR,Implementation,Add effect,Add,1,0,flutter/flutter,No explanation given
facebook/react-native#7220,5064,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add effect,Add,0,1,facebook/react-native,
flutter/flutter#120855,1970535,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,flutter/flutter,No explanation given
nodejs/node#22315,10825355,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,nodejs/node,
flutter/flutter#27953,532712,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
golang/go#37386,16639,CONTRIBUTOR,NONE,Quality,Update test,Update,0,1,golang/go,
tensorflow/tensorflow#24327,2949455,NONE,CONTRIBUTOR,Motivation,Update motivation,Update,1,1,tensorflow/tensorflow,
flutter/flutter#818,3477,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,0,flutter/flutter,Problem is resolved in subsequent comments
facebook/react-native#11647,17760158,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,facebook/react-native,No explanation given
electron/electron#13505,4599237,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,electron/electron,
flutter/flutter#38643,945557,MEMBER,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
flutter/flutter#38643,945557,MEMBER,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
tensorflow/tensorflow#54505,1353338,CONTRIBUTOR,CONTRIBUTOR,Miscellaneous,Delete Assignee,Delete,1,1,tensorflow/tensorflow,
twbs/bootstrap#37356,37261,CONTRIBUTOR,MEMBER,Problem,Add problem statement,Add,1,0,twbs/bootstrap,Problem is resolved in subsequent comments
tensorflow/tensorflow#41296,524620,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
nodejs/node#45491,1218664,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,0,0,nodejs/node,No explanation given
facebook/react#16104,25580123,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,facebook/react,
golang/go#38191,4754,CONTRIBUTOR,NONE,Implementation,Update function summary,Update,0,1,golang/go,
flutter/flutter#27778,193562,CONTRIBUTOR,MEMBER,Motivation,Update motivation,Update,0,0,flutter/flutter,No explanation given
flutter/flutter#123216,2265715,NONE,CONTRIBUTOR,Problem,Add problem statement,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#123216,2265715,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
facebook/react-native#7344,6813288,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,1,facebook/react-native,
flutter/flutter#34188,8659210,MEMBER,CONTRIBUTOR,Implementation,Add trade-off,Add,1,1,flutter/flutter,
flutter/flutter#61609,3633951,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,0,0,flutter/flutter,Problem is resolved in subsequent comments
nodejs/node#31950,4155214,MEMBER,MEMBER,Implementation,Update function summary,Update,0,1,nodejs/node,
axios/axios#5420,624840,COLLABORATOR,CONTRIBUTOR,Problem,Update related issue,Update,1,0,axios/axios,No explanation given
tensorflow/tensorflow#32636,3163418,NONE,MEMBER,Implementation,Add function summary,Add,0,0,tensorflow/tensorflow,No explanation given
tensorflow/tensorflow#42023,6682593,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,0,1,tensorflow/tensorflow,
nodejs/node#17560,4568092,MEMBER,MEMBER,Implementation,Add function summary,Add,0,0,nodejs/node,No explanation given
flutter/flutter#26847,2031901,NONE,MEMBER,Implementation,Add function summary,Add,0,1,flutter/flutter,
facebook/react-native#14906,866809,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,facebook/react-native,
twbs/bootstrap#6342,20966135,MEMBER,COLLABORATOR,Implementation,Update function summary,Update,1,0,twbs/bootstrap,No explanation given
electron/electron#15755,126,MEMBER,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,electron/electron,Problem is resolved in subsequent comments
tensorflow/tensorflow#56072,3192729,CONTRIBUTOR,CONTRIBUTOR,Problem,Update problem statement,Update,1,1,tensorflow/tensorflow,
microsoft/vscode#75052,47201696,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,microsoft/vscode,
flutter/flutter#26208,61518,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,flutter/flutter,
facebook/react-native#20293,992554,CONTRIBUTOR,COLLABORATOR,Motivation,Update motivation,Update,0,1,facebook/react-native,
nodejs/node#15126,19744545,MEMBER,NONE,Motivation,Update motivation,Update,0,0,nodejs/node,No explanation given
nodejs/node#10713,192812,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,1,nodejs/node,
nodejs/node#11020,364143,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,0,1,nodejs/node,
electron/electron#26363,2241614,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,0,1,electron/electron,
tensorflow/tensorflow#53421,2443534,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
golang/go#39474,47902224,NONE,NONE,Motivation,Add motivation,Add,0,0,golang/go,No explanation given
nodejs/node#20075,2388506,MEMBER,MEMBER,Problem,Add related issue,Add,0,1,nodejs/node,
flutter/flutter#100133,5043897,NONE,MEMBER,Problem,Add problem statement,Add,0,0,flutter/flutter,No explanation given
tensorflow/tensorflow#52040,394479,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update effect,Update,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#26936,41247878,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
facebook/react-native#12329,290960,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add trade-off,Add,0,1,facebook/react-native,
nodejs/node#29522,1999602,MEMBER,MEMBER,Problem,Add related issue,Add,0,1,nodejs/node,
flutter/flutter#42100,9705222,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,flutter/flutter,
tensorflow/tensorflow#31559,94124,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,0,tensorflow/tensorflow,No explanation given
tensorflow/tensorflow#47154,79252,MEMBER,CONTRIBUTOR,Implementation,Add effect,Add,1,1,tensorflow/tensorflow,
nodejs/node#33155,1397268,MEMBER,MEMBER,Quality,Add test,Add,0,0,nodejs/node,No explanation given
facebook/react-native#16500,11602492,NONE,CONTRIBUTOR,Problem,Update related issue,Update,0,1,facebook/react-native,
nodejs/node#12972,262087,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,0,1,nodejs/node,
flutter/flutter#30414,671714,CONTRIBUTOR,MEMBER,Implementation,Add trade-off,Add,1,1,flutter/flutter,
flutter/flutter#99493,2434542,MEMBER,CONTRIBUTOR,Problem,Add related issue,Add,1,1,flutter/flutter,
facebook/react#23001,102822,NONE,COLLABORATOR,Implementation,Add function summary,Add,0,0,facebook/react,No explanation given
facebook/react#23001,102822,NONE,COLLABORATOR,Motivation,Add motivation,Add,0,0,facebook/react,No explanation given
tensorflow/tensorflow#19423,1205111,CONTRIBUTOR,NONE,Motivation,Add motivation,Add,0,0,tensorflow/tensorflow,Difficult to Modify
facebook/react-native#33856,12038,NONE,CONTRIBUTOR,Miscellaneous,Language change,Update,0,0,facebook/react-native,No explanation given
flutter/flutter#54919,3616927,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
tensorflow/tensorflow#56483,1813002,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,0,1,tensorflow/tensorflow,
nodejs/node#9659,17829247,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,0,1,nodejs/node,
flutter/flutter#40204,9,MEMBER,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
tensorflow/tensorflow#55665,714547,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#55665,714547,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,tensorflow/tensorflow,
flutter/flutter#19569,7966,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
flutter/flutter#14610,392540,MEMBER,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
flutter/flutter#14610,392540,MEMBER,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,flutter/flutter,
tensorflow/tensorflow#31238,41037,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,1,1,tensorflow/tensorflow,
facebook/react-native#24331,5113174,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,facebook/react-native,
tensorflow/tensorflow#50962,3984078,CONTRIBUTOR,CONTRIBUTOR,Problem,Update problem statement,Update,1,1,tensorflow/tensorflow,
nodejs/node#10045,11179,CONTRIBUTOR,MEMBER,Miscellaneous,Add template content,Add,0,0,nodejs/node,No explanation given
tensorflow/tensorflow#10388,389807,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add effect,Add,0,0,tensorflow/tensorflow,No explanation given
tensorflow/tensorflow#51469,3539260,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,tensorflow/tensorflow,No explanation given
tensorflow/tensorflow#43611,17768049,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,1,tensorflow/tensorflow,
nodejs/node#6413,10773848,MEMBER,CONTRIBUTOR,Problem,Add related issue,Add,0,0,nodejs/node,No explanation given
flutter/flutter#51382,618505,MEMBER,MEMBER,Problem,Add problem statement,Add,0,1,flutter/flutter,
twbs/bootstrap#38128,687051,NONE,MEMBER,Problem,Add related issue,Add,0,1,twbs/bootstrap,
flutter/flutter#37169,13679394,NONE,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,flutter/flutter,No explanation given
facebook/react-native#24347,63926,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,0,1,facebook/react-native,
facebook/react-native#24347,63926,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add release notes,Add,0,1,facebook/react-native,
facebook/react#9147,2220024,MEMBER,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,facebook/react,No explanation given
facebook/react-native#4061,237897,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,0,facebook/react-native,No explanation given
electron/electron#17121,157796,MEMBER,MEMBER,Implementation,Add trade-off,Add,1,1,electron/electron,
electron/electron#33265,174892,CONTRIBUTOR,MEMBER,Implementation,Add release notes,Add,1,1,electron/electron,
facebook/react#23000,103551,NONE,COLLABORATOR,Implementation,Add function summary,Add,0,0,facebook/react,No explanation given
facebook/react#23000,103551,NONE,COLLABORATOR,Motivation,Add motivation,Add,0,0,facebook/react,No explanation given
flutter/flutter#74665,7282,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,1,flutter/flutter,
facebook/react-native#23804,518132,NONE,CONTRIBUTOR,Miscellaneous,Format change,Update,0,1,facebook/react-native,
nodejs/node#38575,2140616,MEMBER,MEMBER,Motivation,Add motivation,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
nodejs/node#19896,5316228,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,nodejs/node,No explanation given
electron/electron#18133,15664510,NONE,MEMBER,Implementation,Add function summary,Add,0,0,electron/electron,No explanation given
electron/electron#18133,15664510,NONE,MEMBER,Quality,Update checklist,Update,0,0,electron/electron,No explanation given
electron/electron#18133,15664510,NONE,MEMBER,Implementation,Add release notes,Add,0,0,electron/electron,No explanation given
electron/electron#33288,504667,MEMBER,MEMBER,Quality,Add limitation,Add,1,1,electron/electron,
flutter/flutter#19931,225697,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,flutter/flutter,
electron/electron#14377,2785831,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,1,1,electron/electron,
tensorflow/tensorflow#1338,63223,NONE,NONE,Miscellaneous,Language change,Update,0,0,tensorflow/tensorflow,No explanation given
electron/electron#34804,49127,NONE,MEMBER,Implementation,Add release notes,Add,0,0,electron/electron,No explanation given
facebook/react-native#10948,919529,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,0,1,facebook/react-native,
golang/go#36076,16917,CONTRIBUTOR,NONE,Problem,Update problem statement,Update,0,1,golang/go,
tensorflow/tensorflow#23186,2961841,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,0,tensorflow/tensorflow,Problem is resolved in subsequent comments
flutter/flutter#79953,2872,MEMBER,MEMBER,Problem,Update related issue,Update,1,1,flutter/flutter,
electron/electron#16363,4097861,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,1,1,electron/electron,
electron/electron#16363,4097861,CONTRIBUTOR,MEMBER,Quality,Update checklist,Update,1,1,electron/electron,
electron/electron#16363,4097861,CONTRIBUTOR,MEMBER,Implementation,Add release notes,Add,1,1,electron/electron,
tensorflow/tensorflow#57091,406534,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
flutter/flutter#46034,3184235,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,0,1,flutter/flutter,
flutter/flutter#46034,3184235,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,0,1,flutter/flutter,
tensorflow/tensorflow#57639,1221425,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update effect,Update,1,1,tensorflow/tensorflow,
flutter/flutter#44471,1532814,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,1,0,flutter/flutter,Problem is resolved in subsequent comments
facebook/react-native#19169,877176,CONTRIBUTOR,COLLABORATOR,Quality,Add test,Add,0,1,facebook/react-native,
facebook/react-native#19169,877176,CONTRIBUTOR,COLLABORATOR,Implementation,Add release notes,Add,0,1,facebook/react-native,
flutter/flutter#116536,1309495,CONTRIBUTOR,CONTRIBUTOR,Problem,Add related issue,Add,1,0,flutter/flutter,Suggestion is incorrect
electron/electron#14906,11650756,CONTRIBUTOR,CONTRIBUTOR,Miscellaneous,Add template content,Add,1,1,electron/electron,
tensorflow/tensorflow#13343,7493,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,tensorflow/tensorflow,No explanation given
flutter/flutter#111710,414977,NONE,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
tensorflow/tensorflow#37304,3625665,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
vercel/next.js#16215,1050207,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Update,1,1,vercel/next.js,
electron/electron#7365,13912,NONE,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,electron/electron,No explanation given
flutter/flutter#121483,5537065,MEMBER,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
tensorflow/tensorflow#53848,5625213,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update effect,Update,1,1,tensorflow/tensorflow,
nodejs/node#9978,358593,CONTRIBUTOR,MEMBER,Miscellaneous,Add template content,Add,0,1,nodejs/node,
flutter/flutter#38325,106572,MEMBER,MEMBER,Implementation,Update technical details,Update,1,1,flutter/flutter,
flutter/flutter#107335,1207221,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,flutter/flutter,
microsoft/vscode#79960,4103084,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,0,microsoft/vscode,Problem is resolved in subsequent comments
microsoft/vscode#79960,4103084,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,1,0,microsoft/vscode,Problem is resolved in subsequent comments
microsoft/vscode#79960,4103084,CONTRIBUTOR,MEMBER,Quality,Add test,Add,1,0,microsoft/vscode,Problem is resolved in subsequent comments
flutter/flutter#39124,2871799,MEMBER,MEMBER,Problem,Add related issue,Add,1,0,flutter/flutter,Problem is resolved in subsequent comments
nodejs/node#36178,2006130,MEMBER,CONTRIBUTOR,Problem,Add related issue,Add,0,1,nodejs/node,
nodejs/node#8896,279612,CONTRIBUTOR,MEMBER,Implementation,Update function summary,Update,0,1,nodejs/node,
flutter/flutter#44843,53,MEMBER,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
nodejs/node#32438,613328,MEMBER,MEMBER,Implementation,Add function summary,Add,0,1,nodejs/node,
tensorflow/tensorflow#17277,34187,MEMBER,NONE,Implementation,Update function summary,Update,1,0,tensorflow/tensorflow,Suggestion is posted after PR closure
tensorflow/tensorflow#51475,4210519,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
tensorflow/tensorflow#51475,4210519,CONTRIBUTOR,CONTRIBUTOR,Quality,Update test,Update,1,1,tensorflow/tensorflow,
flutter/flutter#26438,3891169,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
flutter/flutter#26438,3891169,CONTRIBUTOR,MEMBER,Implementation,Add technical details,Add,1,1,flutter/flutter,
nodejs/node#41749,235739,MEMBER,MEMBER,Problem,Add related issue,Add,1,0,nodejs/node,No explanation given
flutter/flutter#34015,523360,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,Problem is resolved in subsequent comments
facebook/react-native#11117,28478412,CONTRIBUTOR,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
facebook/react-native#11117,28478412,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add trade-off,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
facebook/react-native#11117,28478412,CONTRIBUTOR,CONTRIBUTOR,Quality,Add test,Add,0,0,facebook/react-native,Problem is resolved in subsequent comments
tensorflow/tensorflow#36324,494206,CONTRIBUTOR,CONTRIBUTOR,Problem,Add problem statement,Add,1,1,tensorflow/tensorflow,
facebook/react#3523,110699,NONE,MEMBER,Miscellaneous,Language change,Update,0,0,facebook/react,No explanation given
nodejs/node#23695,3160211,CONTRIBUTOR,MEMBER,Problem,Add related issue,Add,0,1,nodejs/node,
tensorflow/tensorflow#30890,268263,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,1,1,tensorflow/tensorflow,
nodejs/node#1660,239053,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
flutter/flutter#41480,10,MEMBER,MEMBER,Motivation,Add motivation,Add,1,1,flutter/flutter,
nodejs/node#4682,5397161,MEMBER,MEMBER,Implementation,Update function summary,Update,0,0,nodejs/node,Problem is resolved in subsequent comments
nodejs/node#47233,611529,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add release notes,Add,1,0,nodejs/node,Suggestion is posted after PR closure
flutter/flutter#32952,1055213,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
facebook/react-native#10112,6871875,NONE,CONTRIBUTOR,Motivation,Update motivation,Update,0,1,facebook/react-native,
facebook/react-native#33682,1982422,CONTRIBUTOR,COLLABORATOR,Problem,Update problem statement,Update,0,0,facebook/react-native,No explanation given
